,Address,Date,Latitude,Longitude,NumMosquitos,Species_CULEX PIPIENS,Species_CULEX PIPIENS/RESTUANS,Species_CULEX RESTUANS,Species_CULEX SALINARIUS,Species_CULEX TARSALIS,Species_CULEX TERRITANS,most_recent_spray,WnvPresent
20,"7900 West Foster Avenue, Chicago, IL 60656, USA",2007-08-07,41.974,-87.825,12,0,1,0,0,0,0,3650,0
21,"7900 West Foster Avenue, Chicago, IL 60656, USA",2007-08-07,41.974,-87.825,1,0,0,1,0,0,0,3650,0
22,"7900 West Foster Avenue, Chicago, IL 60656, USA",2007-08-07,41.974,-87.825,26,1,0,0,0,0,0,3650,1
23,"7900 West Foster Avenue, Chicago, IL 60656, USA",2007-08-15,41.974,-87.825,25,0,1,0,0,0,0,3650,0
24,"7900 West Foster Avenue, Chicago, IL 60656, USA",2007-08-15,41.974,-87.825,2,0,0,1,0,0,0,3650,0
25,"7900 West Foster Avenue, Chicago, IL 60656, USA",2007-08-15,41.974,-87.825,11,1,0,0,0,0,0,3650,1
26,"7900 West Foster Avenue, Chicago, IL 60656, USA",2007-08-21,41.974,-87.825,5,0,1,0,0,0,0,3650,1
27,"7900 West Foster Avenue, Chicago, IL 60656, USA",2007-08-21,41.974,-87.825,16,1,0,0,0,0,0,3650,0
28,"7900 West Foster Avenue, Chicago, IL 60656, USA",2007-08-24,41.974,-87.825,2,1,0,0,0,0,0,3650,0
29,"7900 West Foster Avenue, Chicago, IL 60656, USA",2007-09-04,41.974,-87.825,2,1,0,0,0,0,0,3650,0
30,"7900 West Foster Avenue, Chicago, IL 60656, USA",2007-09-12,41.974,-87.825,3,0,1,0,0,0,0,3650,0
31,"7900 West Foster Avenue, Chicago, IL 60656, USA",2007-09-18,41.974,-87.825,3,1,0,0,0,0,0,3650,0
32,"7900 West Foster Avenue, Chicago, IL 60656, USA",2007-09-24,41.974,-87.825,5,1,0,0,0,0,0,3650,0
33,"7900 West Foster Avenue, Chicago, IL 60656, USA",2007-10-04,41.974,-87.825,1,0,1,0,0,0,0,3650,0
34,"7900 West Foster Avenue, Chicago, IL 60656, USA",2007-10-04,41.974,-87.825,9,1,0,0,0,0,0,3650,0
35,"2100 North Stave Street, Chicago, IL 60647, USA",2007-05-29,41.919,-87.694,1,0,1,0,0,0,0,3650,0
36,"2100 North Stave Street, Chicago, IL 60647, USA",2007-06-05,41.919,-87.694,1,0,1,0,0,0,0,3650,0
37,"2100 North Stave Street, Chicago, IL 60647, USA",2007-06-05,41.919,-87.694,1,0,0,1,0,0,0,3650,0
38,"2100 North Stave Street, Chicago, IL 60647, USA",2007-06-26,41.919,-87.694,1,0,0,1,0,0,0,3650,0
39,"2100 North Stave Street, Chicago, IL 60647, USA",2007-07-18,41.919,-87.694,1,0,1,0,0,0,0,3650,0
40,"2100 North Stave Street, Chicago, IL 60647, USA",2007-08-01,41.919,-87.694,4,0,1,0,0,0,0,3650,0
41,"2100 North Stave Street, Chicago, IL 60647, USA",2007-08-01,41.919,-87.694,1,0,1,0,0,0,0,3650,0
42,"2100 North Stave Street, Chicago, IL 60647, USA",2007-08-01,41.919,-87.694,1,1,0,0,0,0,0,3650,0
43,"2100 North Stave Street, Chicago, IL 60647, USA",2007-08-07,41.919,-87.694,1,0,1,0,0,0,0,3650,0
44,"2100 North Stave Street, Chicago, IL 60647, USA",2007-08-07,41.919,-87.694,1,1,0,0,0,0,0,3650,0
45,"2100 North Stave Street, Chicago, IL 60647, USA",2007-08-15,41.919,-87.694,3,0,1,0,0,0,0,3650,0
46,"2100 North Stave Street, Chicago, IL 60647, USA",2007-08-15,41.919,-87.694,2,1,0,0,0,0,0,3650,0
47,"2100 North Stave Street, Chicago, IL 60647, USA",2007-08-21,41.919,-87.694,38,0,1,0,0,0,0,3650,0
48,"2100 North Stave Street, Chicago, IL 60647, USA",2007-08-21,41.919,-87.694,6,1,0,0,0,0,0,3650,0
49,"2100 North Stave Street, Chicago, IL 60647, USA",2007-08-24,41.919,-87.694,2,0,1,0,0,0,0,3650,0
50,"2100 North Stave Street, Chicago, IL 60647, USA",2007-08-24,41.919,-87.694,3,1,0,0,0,0,0,3650,0
51,"2100 North Stave Street, Chicago, IL 60647, USA",2007-10-04,41.919,-87.694,1,0,1,0,0,0,0,3650,0
52,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",2007-05-29,41.999,-87.796,1,0,1,0,0,0,0,3650,0
53,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",2007-06-05,41.999,-87.796,2,0,1,0,0,0,0,3650,0
54,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",2007-06-05,41.999,-87.796,9,0,0,1,0,0,0,3650,0
55,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",2007-06-26,41.999,-87.796,1,0,1,0,0,0,0,3650,0
56,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",2007-06-26,41.999,-87.796,1,0,0,1,0,0,0,3650,0
57,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",2007-06-29,41.999,-87.796,3,0,0,1,0,0,0,3650,0
58,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",2007-07-11,41.999,-87.796,1,0,0,1,0,0,0,3650,0
59,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",2007-07-18,41.999,-87.796,1,0,1,0,0,0,0,3650,0
60,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",2007-07-18,41.999,-87.796,1,0,0,1,0,0,0,3650,0
61,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",2007-07-27,41.999,-87.796,1,0,0,1,0,0,0,3650,0
62,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",2007-08-01,41.999,-87.796,8,0,1,0,0,0,0,3650,0
63,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",2007-08-01,41.999,-87.796,6,0,1,0,0,0,0,3650,0
64,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",2007-08-01,41.999,-87.796,1,0,0,1,0,0,0,3650,0
65,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",2007-08-01,41.999,-87.796,14,1,0,0,0,0,0,3650,0
66,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",2007-08-01,41.999,-87.796,3,1,0,0,0,0,0,3650,0
67,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",2007-08-07,41.999,-87.796,15,0,1,0,0,0,0,3650,1
68,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",2007-08-07,41.999,-87.796,29,1,0,0,0,0,0,3650,1
69,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",2007-08-15,41.999,-87.796,25,0,1,0,0,0,0,3650,1
70,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",2007-08-15,41.999,-87.796,42,0,1,0,0,0,0,3650,1
71,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",2007-08-15,41.999,-87.796,1,0,0,1,0,0,0,3650,0
72,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",2007-08-15,41.999,-87.796,31,1,0,0,0,0,0,3650,1
73,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",2007-08-21,41.999,-87.796,3,0,1,0,0,0,0,3650,0
74,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",2007-08-21,41.999,-87.796,1,1,0,0,0,0,0,3650,1
75,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",2007-08-24,41.999,-87.796,8,0,1,0,0,0,0,3650,0
76,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",2007-08-24,41.999,-87.796,4,1,0,0,0,0,0,3650,0
77,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",2007-09-04,41.999,-87.796,3,0,1,0,0,0,0,3650,0
78,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",2007-09-18,41.999,-87.796,1,1,0,0,0,0,0,3650,0
79,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",2007-09-24,41.999,-87.796,10,0,1,0,0,0,0,3650,0
80,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",2007-09-24,41.999,-87.796,1,1,0,0,0,0,0,3650,0
81,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",2007-10-04,41.999,-87.796,1,0,1,0,0,0,0,3650,0
82,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",2007-10-04,41.999,-87.796,2,1,0,0,0,0,0,3650,0
83,"1500 North Long Avenue, Chicago, IL 60651, USA",2007-05-29,41.908,-87.761,1,0,0,1,0,0,0,3650,0
84,"1500 North Long Avenue, Chicago, IL 60651, USA",2007-06-05,41.908,-87.761,3,0,0,1,0,0,0,3650,0
85,"1500 North Long Avenue, Chicago, IL 60651, USA",2007-06-29,41.908,-87.761,1,0,0,1,0,0,0,3650,0
86,"1500 North Long Avenue, Chicago, IL 60651, USA",2007-07-18,41.908,-87.761,2,0,1,0,0,0,0,3650,0
87,"1500 North Long Avenue, Chicago, IL 60651, USA",2007-08-01,41.908,-87.761,4,0,1,0,0,0,0,3650,0
88,"1500 North Long Avenue, Chicago, IL 60651, USA",2007-08-01,41.908,-87.761,2,0,1,0,0,0,0,3650,0
89,"1500 North Long Avenue, Chicago, IL 60651, USA",2007-08-01,41.908,-87.761,1,1,0,0,0,0,0,3650,0
90,"1500 North Long Avenue, Chicago, IL 60651, USA",2007-08-01,41.908,-87.761,1,1,0,0,0,0,0,3650,0
91,"1500 North Long Avenue, Chicago, IL 60651, USA",2007-08-07,41.908,-87.761,3,0,1,0,0,0,0,3650,0
92,"1500 North Long Avenue, Chicago, IL 60651, USA",2007-08-07,41.908,-87.761,4,1,0,0,0,0,0,3650,0
93,"1500 North Long Avenue, Chicago, IL 60651, USA",2007-08-15,41.908,-87.761,3,0,1,0,0,0,0,3650,0
94,"1500 North Long Avenue, Chicago, IL 60651, USA",2007-08-15,41.908,-87.761,49,0,1,0,0,0,0,3650,0
95,"1500 North Long Avenue, Chicago, IL 60651, USA",2007-08-15,41.908,-87.761,20,1,0,0,0,0,0,3650,0
96,"1500 North Long Avenue, Chicago, IL 60651, USA",2007-08-21,41.908,-87.761,11,0,1,0,0,0,0,3650,0
97,"1500 North Long Avenue, Chicago, IL 60651, USA",2007-08-21,41.908,-87.761,14,1,0,0,0,0,0,3650,0
98,"1500 North Long Avenue, Chicago, IL 60651, USA",2007-08-24,41.908,-87.761,17,0,1,0,0,0,0,3650,0
99,"1500 North Long Avenue, Chicago, IL 60651, USA",2007-08-24,41.908,-87.761,7,1,0,0,0,0,0,3650,0
100,"1500 North Long Avenue, Chicago, IL 60651, USA",2007-09-04,41.908,-87.761,2,0,1,0,0,0,0,3650,0
101,"1500 North Long Avenue, Chicago, IL 60651, USA",2007-09-12,41.908,-87.761,10,1,0,0,0,0,0,3650,0
102,"1500 North Long Avenue, Chicago, IL 60651, USA",2007-09-18,41.908,-87.761,4,1,0,0,0,0,0,3650,0
103,"1500 North Long Avenue, Chicago, IL 60651, USA",2007-09-24,41.908,-87.761,10,0,1,0,0,0,0,3650,0
104,"1500 North Long Avenue, Chicago, IL 60651, USA",2007-10-04,41.908,-87.761,21,0,1,0,0,0,0,3650,0
105,"1500 North Long Avenue, Chicago, IL 60651, USA",2007-10-04,41.908,-87.761,1,0,0,1,0,0,0,3650,0
106,"1500 North Long Avenue, Chicago, IL 60651, USA",2009-06-02,41.908,-87.761,1,0,1,0,0,0,0,3650,0
107,"1500 North Long Avenue, Chicago, IL 60651, USA",2009-06-05,41.908,-87.761,1,0,1,0,0,0,0,3650,0
108,"1500 North Long Avenue, Chicago, IL 60651, USA",2009-06-05,41.908,-87.761,2,0,0,1,0,0,0,3650,0
109,"1500 North Long Avenue, Chicago, IL 60651, USA",2009-06-12,41.908,-87.761,11,0,1,0,0,0,0,3650,0
110,"1500 North Long Avenue, Chicago, IL 60651, USA",2009-06-19,41.908,-87.761,3,0,0,1,0,0,0,3650,0
111,"1500 North Long Avenue, Chicago, IL 60651, USA",2009-06-26,41.908,-87.761,5,0,1,0,0,0,0,3650,0
112,"1500 North Long Avenue, Chicago, IL 60651, USA",2009-06-26,41.908,-87.761,10,0,0,1,0,0,0,3650,0
113,"1500 North Long Avenue, Chicago, IL 60651, USA",2009-06-26,41.908,-87.761,2,1,0,0,0,0,0,3650,0
114,"1500 North Long Avenue, Chicago, IL 60651, USA",2009-07-10,41.908,-87.761,4,0,1,0,0,0,0,3650,0
115,"1500 North Long Avenue, Chicago, IL 60651, USA",2009-07-10,41.908,-87.761,1,0,0,1,0,0,0,3650,0
116,"1500 North Long Avenue, Chicago, IL 60651, USA",2009-07-10,41.908,-87.761,1,1,0,0,0,0,0,3650,0
117,"1500 North Long Avenue, Chicago, IL 60651, USA",2009-07-17,41.908,-87.761,3,0,1,0,0,0,0,3650,0
118,"1500 North Long Avenue, Chicago, IL 60651, USA",2009-07-17,41.908,-87.761,4,0,0,1,0,0,0,3650,0
119,"1500 North Long Avenue, Chicago, IL 60651, USA",2009-08-07,41.908,-87.761,7,0,1,0,0,0,0,3650,0
120,"1500 North Long Avenue, Chicago, IL 60651, USA",2009-08-07,41.908,-87.761,2,0,0,1,0,0,0,3650,0
121,"1500 North Long Avenue, Chicago, IL 60651, USA",2009-09-14,41.908,-87.761,4,0,1,0,0,0,0,3650,0
122,"1500 North Long Avenue, Chicago, IL 60651, USA",2009-09-14,41.908,-87.761,1,0,0,1,0,0,0,3650,0
123,"1500 North Long Avenue, Chicago, IL 60651, USA",2009-09-25,41.908,-87.761,3,0,1,0,0,0,0,3650,0
124,"8900 South Carpenter Street, Chicago, IL 60620, USA",2007-05-29,41.733,-87.65,1,0,0,1,0,0,0,3650,0
125,"8900 South Carpenter Street, Chicago, IL 60620, USA",2007-06-05,41.733,-87.65,1,0,0,1,0,0,0,3650,0
126,"8900 South Carpenter Street, Chicago, IL 60620, USA",2007-08-07,41.733,-87.65,9,0,1,0,0,0,0,3650,0
127,"8900 South Carpenter Street, Chicago, IL 60620, USA",2007-08-07,41.733,-87.65,1,0,0,1,0,0,0,3650,0
128,"8900 South Carpenter Street, Chicago, IL 60620, USA",2007-08-07,41.733,-87.65,3,1,0,0,0,0,0,3650,0
129,"8900 South Carpenter Street, Chicago, IL 60620, USA",2007-08-07,41.733,-87.65,2,0,0,0,0,0,1,3650,0
130,"8900 South Carpenter Street, Chicago, IL 60620, USA",2007-08-15,41.733,-87.65,44,0,1,0,0,0,0,3650,0
131,"8900 South Carpenter Street, Chicago, IL 60620, USA",2007-08-15,41.733,-87.65,3,0,0,1,0,0,0,3650,0
132,"8900 South Carpenter Street, Chicago, IL 60620, USA",2007-08-15,41.733,-87.65,45,1,0,0,0,0,0,3650,0
133,"8900 South Carpenter Street, Chicago, IL 60620, USA",2007-08-15,41.733,-87.65,45,1,0,0,0,0,0,3650,0
134,"8900 South Carpenter Street, Chicago, IL 60620, USA",2007-08-22,41.733,-87.65,24,0,1,0,0,0,0,3650,1
135,"8900 South Carpenter Street, Chicago, IL 60620, USA",2007-08-22,41.733,-87.65,40,1,0,0,0,0,0,3650,1
136,"8900 South Carpenter Street, Chicago, IL 60620, USA",2007-08-22,41.733,-87.65,7,0,0,0,0,0,1,3650,0
137,"8900 South Carpenter Street, Chicago, IL 60620, USA",2007-09-24,41.733,-87.65,1,0,1,0,0,0,0,3650,0
138,"8900 South Carpenter Street, Chicago, IL 60620, USA",2007-09-24,41.733,-87.65,1,1,0,0,0,0,0,3650,0
139,"8900 South Carpenter Street, Chicago, IL 60620, USA",2009-05-28,41.733,-87.65,2,0,1,0,0,0,0,3650,0
140,"8900 South Carpenter Street, Chicago, IL 60620, USA",2009-06-02,41.733,-87.65,22,0,1,0,0,0,0,3650,0
141,"8900 South Carpenter Street, Chicago, IL 60620, USA",2009-06-02,41.733,-87.65,6,0,0,1,0,0,0,3650,0
142,"8900 South Carpenter Street, Chicago, IL 60620, USA",2009-06-05,41.733,-87.65,4,0,1,0,0,0,0,3650,0
143,"8900 South Carpenter Street, Chicago, IL 60620, USA",2009-06-05,41.733,-87.65,5,0,0,1,0,0,0,3650,0
144,"8900 South Carpenter Street, Chicago, IL 60620, USA",2009-06-05,41.733,-87.65,1,1,0,0,0,0,0,3650,0
145,"8900 South Carpenter Street, Chicago, IL 60620, USA",2009-06-12,41.733,-87.65,2,0,1,0,0,0,0,3650,0
146,"8900 South Carpenter Street, Chicago, IL 60620, USA",2009-06-12,41.733,-87.65,7,0,0,1,0,0,0,3650,0
147,"8900 South Carpenter Street, Chicago, IL 60620, USA",2009-06-12,41.733,-87.65,50,0,0,1,0,0,0,3650,0
148,"8900 South Carpenter Street, Chicago, IL 60620, USA",2009-06-12,41.733,-87.65,1,0,0,0,1,0,0,3650,0
149,"8900 South Carpenter Street, Chicago, IL 60620, USA",2009-06-19,41.733,-87.65,17,0,1,0,0,0,0,3650,0
150,"8900 South Carpenter Street, Chicago, IL 60620, USA",2009-06-19,41.733,-87.65,50,0,1,0,0,0,0,3650,0
151,"8900 South Carpenter Street, Chicago, IL 60620, USA",2009-06-19,41.733,-87.65,28,0,0,1,0,0,0,3650,0
152,"8900 South Carpenter Street, Chicago, IL 60620, USA",2009-06-19,41.733,-87.65,1,1,0,0,0,0,0,3650,0
153,"8900 South Carpenter Street, Chicago, IL 60620, USA",2009-06-26,41.733,-87.65,9,0,1,0,0,0,0,3650,0
154,"8900 South Carpenter Street, Chicago, IL 60620, USA",2009-07-06,41.733,-87.65,6,0,1,0,0,0,0,3650,0
155,"8900 South Carpenter Street, Chicago, IL 60620, USA",2009-07-06,41.733,-87.65,2,0,0,1,0,0,0,3650,0
156,"8900 South Carpenter Street, Chicago, IL 60620, USA",2009-07-13,41.733,-87.65,50,0,1,0,0,0,0,3650,0
157,"8900 South Carpenter Street, Chicago, IL 60620, USA",2009-07-13,41.733,-87.65,50,0,1,0,0,0,0,3650,0
158,"8900 South Carpenter Street, Chicago, IL 60620, USA",2009-07-13,41.733,-87.65,30,0,1,0,0,0,0,3650,0
159,"8900 South Carpenter Street, Chicago, IL 60620, USA",2009-07-13,41.733,-87.65,13,0,0,1,0,0,0,3650,0
160,"8900 South Carpenter Street, Chicago, IL 60620, USA",2009-07-13,41.733,-87.65,1,1,0,0,0,0,0,3650,0
161,"8900 South Carpenter Street, Chicago, IL 60620, USA",2009-07-17,41.733,-87.65,10,0,1,0,0,0,0,3650,0
162,"8900 South Carpenter Street, Chicago, IL 60620, USA",2009-07-17,41.733,-87.65,18,0,0,1,0,0,0,3650,0
163,"8900 South Carpenter Street, Chicago, IL 60620, USA",2009-07-17,41.733,-87.65,4,1,0,0,0,0,0,3650,0
164,"8900 South Carpenter Street, Chicago, IL 60620, USA",2009-07-17,41.733,-87.65,1,0,0,0,1,0,0,3650,0
165,"8900 South Carpenter Street, Chicago, IL 60620, USA",2009-07-27,41.733,-87.65,5,0,1,0,0,0,0,3650,0
166,"8900 South Carpenter Street, Chicago, IL 60620, USA",2009-07-27,41.733,-87.65,4,0,0,1,0,0,0,3650,0
167,"8900 South Carpenter Street, Chicago, IL 60620, USA",2009-07-27,41.733,-87.65,1,1,0,0,0,0,0,3650,0
168,"8900 South Carpenter Street, Chicago, IL 60620, USA",2009-07-31,41.733,-87.65,14,0,1,0,0,0,0,3650,0
169,"8900 South Carpenter Street, Chicago, IL 60620, USA",2009-07-31,41.733,-87.65,7,0,0,1,0,0,0,3650,0
170,"8900 South Carpenter Street, Chicago, IL 60620, USA",2009-07-31,41.733,-87.65,1,1,0,0,0,0,0,3650,0
171,"8900 South Carpenter Street, Chicago, IL 60620, USA",2009-08-07,41.733,-87.65,3,0,1,0,0,0,0,3650,0
172,"8900 South Carpenter Street, Chicago, IL 60620, USA",2009-08-07,41.733,-87.65,1,0,0,1,0,0,0,3650,0
173,"8900 South Carpenter Street, Chicago, IL 60620, USA",2009-08-07,41.733,-87.65,2,1,0,0,0,0,0,3650,0
174,"8900 South Carpenter Street, Chicago, IL 60620, USA",2009-08-27,41.733,-87.65,1,0,1,0,0,0,0,3650,0
175,"8900 South Carpenter Street, Chicago, IL 60620, USA",2009-09-03,41.733,-87.65,1,0,1,0,0,0,0,3650,0
176,"8900 South Carpenter Street, Chicago, IL 60620, USA",2009-09-03,41.733,-87.65,5,0,0,1,0,0,0,3650,0
177,"8900 South Carpenter Street, Chicago, IL 60620, USA",2009-09-03,41.733,-87.65,1,0,0,0,0,0,1,3650,0
178,"8900 South Carpenter Street, Chicago, IL 60620, USA",2009-09-14,41.733,-87.65,1,0,1,0,0,0,0,3650,0
179,"8900 South Carpenter Street, Chicago, IL 60620, USA",2009-09-17,41.733,-87.65,9,0,1,0,0,0,0,3650,0
180,"8900 South Carpenter Street, Chicago, IL 60620, USA",2009-09-17,41.733,-87.65,1,0,0,1,0,0,0,3650,0
181,"8900 South Carpenter Street, Chicago, IL 60620, USA",2009-09-25,41.733,-87.65,7,0,1,0,0,0,0,3650,0
182,"8900 South Carpenter Street, Chicago, IL 60620, USA",2009-09-25,41.733,-87.65,2,0,0,1,0,0,0,3650,0
183,"8900 South Carpenter Street, Chicago, IL 60620, USA",2011-06-17,41.733,-87.65,7,0,0,1,0,0,0,3650,0
184,"8900 South Carpenter Street, Chicago, IL 60620, USA",2011-06-24,41.733,-87.65,1,0,1,0,0,0,0,3650,0
185,"8900 South Carpenter Street, Chicago, IL 60620, USA",2011-06-30,41.733,-87.65,1,0,1,0,0,0,0,3650,0
186,"8900 South Carpenter Street, Chicago, IL 60620, USA",2011-06-30,41.733,-87.65,4,0,0,1,0,0,0,3650,0
187,"8900 South Carpenter Street, Chicago, IL 60620, USA",2011-07-29,41.733,-87.65,1,0,0,1,0,0,0,3650,0
188,"8900 South Carpenter Street, Chicago, IL 60620, USA",2011-07-29,41.733,-87.65,3,1,0,0,0,0,0,3650,0
189,"8900 South Carpenter Street, Chicago, IL 60620, USA",2011-08-05,41.733,-87.65,1,0,1,0,0,0,0,3650,0
190,"8900 South Carpenter Street, Chicago, IL 60620, USA",2011-08-05,41.733,-87.65,2,1,0,0,0,0,0,3650,0
191,"8900 South Carpenter Street, Chicago, IL 60620, USA",2011-08-12,41.733,-87.65,1,0,0,1,0,0,0,3650,0
192,"8900 South Carpenter Street, Chicago, IL 60620, USA",2011-08-19,41.733,-87.65,3,0,1,0,0,0,0,3650,0
193,"8900 South Carpenter Street, Chicago, IL 60620, USA",2011-08-26,41.733,-87.65,4,0,1,0,0,0,0,3650,0
194,"8900 South Carpenter Street, Chicago, IL 60620, USA",2011-08-26,41.733,-87.65,1,0,0,1,0,0,0,3650,0
195,"8900 South Carpenter Street, Chicago, IL 60620, USA",2011-09-02,41.733,-87.65,6,0,1,0,0,0,0,3650,0
196,"8900 South Carpenter Street, Chicago, IL 60620, USA",2011-09-02,41.733,-87.65,1,0,0,1,0,0,0,3650,0
197,"8900 South Carpenter Street, Chicago, IL 60620, USA",2011-09-02,41.733,-87.65,2,1,0,0,0,0,0,3650,0
198,"8900 South Carpenter Street, Chicago, IL 60620, USA",2011-09-12,41.733,-87.65,1,0,1,0,0,0,0,3650,0
199,"8900 South Carpenter Street, Chicago, IL 60620, USA",2011-09-23,41.733,-87.65,3,0,1,0,0,0,0,3650,0
200,"8900 South Carpenter Street, Chicago, IL 60620, USA",2011-09-23,41.733,-87.65,1,0,0,1,0,0,0,3650,0
201,"8900 South Carpenter Street, Chicago, IL 60620, USA",2013-06-07,41.733,-87.65,4,0,1,0,0,0,0,3650,0
202,"8900 South Carpenter Street, Chicago, IL 60620, USA",2013-06-14,41.733,-87.65,1,0,1,0,0,0,0,3650,0
203,"8900 South Carpenter Street, Chicago, IL 60620, USA",2013-06-14,41.733,-87.65,3,0,0,1,0,0,0,3650,0
204,"8900 South Carpenter Street, Chicago, IL 60620, USA",2013-06-21,41.733,-87.65,15,0,0,1,0,0,0,3650,0
205,"8900 South Carpenter Street, Chicago, IL 60620, USA",2013-06-28,41.733,-87.65,5,0,1,0,0,0,0,3650,0
206,"8900 South Carpenter Street, Chicago, IL 60620, USA",2013-06-28,41.733,-87.65,8,0,0,1,0,0,0,3650,0
207,"8900 South Carpenter Street, Chicago, IL 60620, USA",2013-07-08,41.733,-87.65,18,0,0,1,0,0,0,3650,0
208,"8900 South Carpenter Street, Chicago, IL 60620, USA",2013-07-12,41.733,-87.65,27,0,1,0,0,0,0,3650,1
209,"8900 South Carpenter Street, Chicago, IL 60620, USA",2013-07-12,41.733,-87.65,44,0,0,1,0,0,0,3650,0
210,"8900 South Carpenter Street, Chicago, IL 60620, USA",2013-07-19,41.733,-87.65,46,0,1,0,0,0,0,2,0
211,"8900 South Carpenter Street, Chicago, IL 60620, USA",2013-07-19,41.733,-87.65,19,0,1,0,0,0,0,2,0
212,"8900 South Carpenter Street, Chicago, IL 60620, USA",2013-07-19,41.733,-87.65,15,0,0,1,0,0,0,2,0
213,"8900 South Carpenter Street, Chicago, IL 60620, USA",2013-07-25,41.733,-87.65,50,0,1,0,0,0,0,8,0
